doc_id,word_count,token_count,sentence_count,char_count,char_count_no_spaces,avg_words_per_sentence,avg_syllables_per_word,flesch_kincaid_grade,gunning_fog_index,lexical_density,lexical_diversity,keyword_density,sentiment_polarity,named_entity_count,distinct_entity_types,most_frequent_entity,most_frequent_entity_count
Reigning_Cats_and_Dogs_403d2bf87a,12746,10095,655,80017,65113,19.459541984732823,1.478346147811078,9.443705918216523,10.539191028947265,0.6091322767927193,0.20688843558763534,0.06551074847010827,,2303,16,Garfield,297
Release_dove_705f3da202,554,369,28,3368,2787,19.785714285714285,1.6732851985559567,11.871193914388861,14.484682826199071,0.5848375451263538,0.44404332129963897,0.13357400722021662,,35,9,Barbary,3
Religieuse_506238d540,154,102,8,975,803,19.25,1.6233766233766234,11.073344155844158,13.933766233766233,0.6103896103896104,0.6428571428571429,0.09740259740259741,,11,5,French,2
Rellor_da2d2f8789,372,255,17,2363,1968,21.88235294117647,1.7231182795698925,13.276913345983559,13.376597090449081,0.6075268817204301,0.49731182795698925,0.12365591397849462,,64,10,Pokémon,14
Remoulade_90d202d449,466,331,23,3057,2543,20.26086956521739,1.6952789699570816,12.31603097592835,14.112931517074083,0.6759656652360515,0.47854077253218885,0.08798283261802575,,25,7,French,3
Renaissance_Park_(Atlanta)_7e5ae3c94d,145,98,8,922,765,18.125,1.5931034482758621,10.277370689655175,13.318965517241379,0.6068965517241379,0.5793103448275863,0.15172413793103448,,17,8,Renaissance Park,2
Renamon_3dd4c9260e,8848,6409,551,56940,47225,16.058076225045372,1.7521473779385173,11.347988787442201,9.863555987305672,0.6161844484629295,0.2637884267631103,0.05865732368896926,,1756,16,Digimon,119
Renanthera_caloptera_137d361cae,200,152,24,1651,1413,8.333333333333334,2.41,16.098000000000003,11.333333333333336,0.71,0.625,0.17,,37,6,Ascoglossum,4
Rendang_e15c07a70f,6325,4658,281,42035,35245,22.508896797153024,1.7955731225296443,14.376232596739484,14.916602197122081,0.6798418972332015,0.27288537549407116,0.09691699604743083,,731,14,Rendang,104
Rene_Bourque_824d28a4f5,2089,1549,97,12882,10642,21.536082474226806,1.5375777884155097,10.952490068251475,12.137649839858268,0.5552896122546673,0.30780277644806125,0.07324078506462423,,357,14,Bourque,34
Rene_Lorenzo_La_Montagne_10fd1c9b06,69,54,5,426,347,13.8,1.536231884057971,7.919536231884059,7.838840579710146,0.6231884057971014,0.6231884057971014,0.18840579710144928,,12,5,1856,2
Renibacterium_salmoninarum_173ca362fd,220,146,15,1466,1229,14.666666666666666,1.9227272727272726,12.818181818181817,15.321212121212122,0.6090909090909091,0.5954545454545455,0.10454545454545454,,15,5,Renibacterium,2
Rent_The_Chicken_5dbc1b06a4,247,186,12,1749,1478,20.583333333333332,1.8704453441295548,14.508755060728749,16.65438596491228,0.6477732793522267,0.611336032388664,0.1214574898785425,,30,7,Rent The Chicken,2
